Domain,Kingdom,Phylum,Class,Order,Family,Genus
Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter
Bacteria,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Lentibacillus
Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
Bacteria,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Periweissella
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactobacillus
Bacteria,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium
Bacteria,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella
Bacteria,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium
Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
Bacteria,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria
