Species_label,Kingdom,Phylum,Class,Order,Family,Genus
spp_1,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acetobacter
spp_2,Pseudomonadati,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Gluconacetobacter
spp_3,Bacillati,Bacillota,Bacilli,Bacillales,Bacillaceae,Lentibacillus
spp_4,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium
spp_5,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia
spp_6,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter
spp_7,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea
spp_8,Pseudomonadati,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia
spp_9,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
spp_10,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus
spp_11,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Schleiferilactobacillus
spp_12,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
spp_13,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus
spp_14,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Loigolactobacillus
spp_15,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Paucilactobacillus
spp_16,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus
spp_17,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Fructilactobacillus
spp_18,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Acetilactobacillus
spp_19,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Secundilactobacillus
spp_20,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus
spp_21,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium
spp_22,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella
spp_23,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus
spp_24,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus
spp_25,Bacillati,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus
spp_26,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus
spp_27,Bacillati,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
spp_28,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus
spp_29,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Periweissella
spp_30,Bacillati,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc
spp_31,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactobacillus
spp_32,Bacillati,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Alkalibacterium
spp_33,Bacillati,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella
spp_34,Bacillati,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium
spp_35,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus
spp_36,Bacillati,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Kocuria
